id,f84faf3b-09a3-4d4d-9bfd-9e51ce7e3322
name,Cal_785_SEX139
device,EZI860
spectrometer,ZTNX
time_stamp,2022-08-19 18:42:55
integ_time,60000
integ_unit,ms
averages,5
laserPower,100
user,Admin
wl,785nm
Pixels,Wavelength,Wavenumbers,Raman_Shift,Raw_Data,Background_Data,Processed_Data
85,756.2436823798221,9487.83344285812,-480.072662029467,2365,2296,69
86,756.4895077822576,9488.488088014155,-475.7756943179181,2701,2648,53
87,756.7352388392304,9489.143635746905,-471.48316587441764,2674,2678,-4
88,756.9808755529491,9489.800086431691,-467.195070732211,4493,4495,-2
89,757.2264179256226,9490.457440444417,-462.9114029356522,2250,2324,-74
90,757.4718659594598,9491.115698161555,-458.63215654017654,3047,3046,1
91,757.7172196566693,9491.774859960151,-454.357325612277,3268,3282,-14
92,757.9624790194598,9492.434926217828,-450.0869042294805,2390,2387,3
93,758.2076440500401,9493.095897312782,-445.8208864803171,3920,3940,-20
94,758.4527147506192,9493.757773623784,-441.55926646429793,2631,2665,-34
95,758.6976911234058,9494.420555530189,-437.3020382918846,11701,11694,7
96,758.9425731706084,9495.084243411922,-433.04919608448176,3737,3776,-39
97,759.187360894436,9495.748837649482,-428.8007339743915,5592,5632,-40
98,759.4320542970974,9496.414338623954,-424.55664610479175,2505,2506,-1
99,759.6766533808013,9497.080746717,-420.3169266297234,2554,2543,11
100,759.9211581477566,9497.748062310855,-416.081569714054,2606,2610,-4
101,760.1655686001718,9498.41628578834,-411.850569533465,2440,2433,7
102,760.4098847402558,9499.085417532857,-407.62392027440615,2480,2532,-52
103,760.6541065702176,9499.755457928382,-403.4016161340903,3490,3544,-54
104,760.8982340922657,9500.426407359479,-399.1836513204605,3517,3529,-12
105,761.1422673086089,9501.098266211291,-394.9700200521736,2732,2739,-7
106,761.386206221456,9501.77103486954,-390.76071655856026,3486,3504,-18
107,761.6300508330158,9502.444713720537,-386.5557350796105,2292,2268,24
108,761.8738011454973,9503.119303151172,-382.3550698659517,2034,2011,23
109,762.1174571611089,9503.794803548926,-378.1587151788269,2738,2637,101
110,762.3610188820593,9504.471215301857,-373.96666529005483,2092,2081,11
111,762.6044863105577,9505.148538798607,-369.77891448201694,2215,2190,25
112,762.8478594488125,9505.826774428413,-365.59545704763946,2522,2519,3
113,763.091138299033,9506.505922581093,-361.4162872903496,3082,3066,16
114,763.3343228634272,9507.18598364705,-357.2413995240829,3347,3318,29
115,763.5774131442046,9507.866958017274,-353.07078807321955,2338,2330,8
